,name,price,tdp,date,socket,category,speed,turbo,cpuCount,cores,logicals,rank,samples,extracted_ghz,brand,final_family,model_only,socket_final,category_final,speed_ghz,turbo_ghz,cost_per_rank_point,cost_per_core
3761,Qualcomm APQ8084,,0.0,2021-02-01,Unknown,Mobile/Embedded,2649.0,,1,4,1,3461,37,,Qualcomm,Specialized/Generic ARM,APQ8084,Unknown,Embedded/IoT,2.65,,,
3762,Qualcomm MSM 8939 HUAWEI KIW-L21,,0.0,2021-02-01,Unknown,Mobile/Embedded,1497.0,,1,8,1,2898,8,,Qualcomm,Specialized/Generic ARM,MSM 8939 HUAWEI KIW-L21,Unknown,Embedded/IoT,1.5,,,
3763,Qualcomm MSM 8939 HUAWEI KIW-L24,,0.0,2021-05-01,Unknown,Mobile/Embedded,1497.0,,1,8,1,2921,2,,Qualcomm,Specialized/Generic ARM,MSM 8939 HUAWEI KIW-L24,Unknown,Embedded/IoT,1.5,,,
3764,Qualcomm MSM 8939 HUAWEI TEXAS-A1,,0.0,2021-06-01,Unknown,Mobile/Embedded,1497.0,,1,8,1,2900,2,,Qualcomm,Specialized/Generic ARM,MSM 8939 HUAWEI TEXAS-A1,Unknown,Embedded/IoT,1.5,,,
3765,Qualcomm MSM 8974 HAMMERHEAD (Flattened Device Tre,,0.0,2021-02-01,Unknown,Mobile/Embedded,2265.0,,1,4,1,3431,1,,Qualcomm,Specialized/Generic ARM,MSM 8974 HAMMERHEAD (Flattened Device Tre,Unknown,Embedded/IoT,2.27,,,
3766,Qualcomm MSM8226,,0.0,2021-02-01,Unknown,Mobile/Embedded,1190.0,,1,4,1,3715,2,,Qualcomm,Specialized/Generic ARM,MSM8226,Unknown,Embedded/IoT,1.19,,,
3767,Qualcomm MSM8228,,0.0,2021-04-01,Unknown,Mobile/Embedded,1401.0,,1,4,1,3688,1,,Qualcomm,Specialized/Generic ARM,MSM8228,Unknown,Embedded/IoT,1.4,,,
3768,Qualcomm MSM8626,,0.0,2021-03-01,Unknown,Mobile/Embedded,1190.0,,1,4,1,3735,1,,Qualcomm,Specialized/Generic ARM,MSM8626,Unknown,Embedded/IoT,1.19,,,
3769,Qualcomm MSM8916,,0.0,2022-04-01,Unknown,Mobile/Embedded,1209.0,,1,4,1,3571,1,,Qualcomm,Specialized/Generic ARM,MSM8916,Unknown,Embedded/IoT,1.21,,,
3770,Qualcomm MSM8917,,0.0,2021-02-01,Unknown,Mobile/Embedded,1401.0,,1,4,1,3392,26,,Qualcomm,Specialized/Generic ARM,MSM8917,Unknown,Embedded/IoT,1.4,,,
3771,Qualcomm MSM8926,,0.0,2021-04-01,Unknown,Mobile/Embedded,1190.0,,1,4,1,3724,6,,Qualcomm,Specialized/Generic ARM,MSM8926,Unknown,Embedded/IoT,1.19,,,
3772,Qualcomm MSM8928,,0.0,2021-03-01,Unknown,Mobile/Embedded,1401.0,,1,4,1,3677,3,,Qualcomm,Specialized/Generic ARM,MSM8928,Unknown,Embedded/IoT,1.4,,,
3773,Qualcomm MSM8937,,0.0,2021-02-01,Unknown,Mobile/Embedded,1401.0,,1,8,1,2989,20,,Qualcomm,Specialized/Generic ARM,MSM8937,Unknown,Embedded/IoT,1.4,,,
3774,Qualcomm MSM8939,,0.0,2021-07-01,Unknown,Mobile/Embedded,1651.0,,1,8,1,2882,2,,Qualcomm,Specialized/Generic ARM,MSM8939,Unknown,Embedded/IoT,1.65,,,
3775,Qualcomm MSM8953,,0.0,2021-07-01,Unknown,Mobile/Embedded,1804.0,,1,8,1,2509,5,,Qualcomm,Specialized/Generic ARM,MSM8953,Unknown,Embedded/IoT,1.8,,,
